company,model,year,vehicle_age,mileage,service_issues
Hyundai,i10,2020,4,53779,"Suspension Check, Air Filter Replacement, AC Gas Refill, Engine Oil Change"
Hyundai,Tucson,2021,3,36877,"Engine Oil Change, Air Filter Replacement, Battery Replacement"
Hyundai,Tucson,2013,11,182877,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, AC Gas Refill, Coolant Flush, Brake Pad Replacement"
Hyundai,Verna,2023,1,11654,"Engine Oil Change, Wheel Alignment"
Tata,Nexon,2020,4,29106,"Suspension Check, Exhaust System Repair"
Tata,Safari,2020,4,70965,"Engine Oil Change, Battery Replacement"
Maruti,Baleno,2023,1,16083,"Engine Oil Change, Tire Rotation"
Toyota,Innova,2012,12,124440,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i10,2015,9,117417,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i20,2019,5,79196,"Suspension Check, Spark Plug Replacement, Air Filter Replacement, Engine Oil Change"
Maruti,WagonR,2014,10,96115,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, AC Gas Refill, Timing Belt Replacement, Tire Rotation"
Tata,Safari,2021,3,37637,"Engine Oil Change, Wiper Blade Replacement, AC Gas Refill, Battery Replacement"
Hyundai,Venue,2021,3,29992,"Engine Oil Change, Battery Replacement"
Toyota,Innova,2015,9,152570,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Camry,2022,2,34458,"Engine Oil Change, Air Filter Replacement, Wiper Blade Replacement, Tire Rotation"
Hyundai,i20,2022,2,35562,"Engine Oil Change, Air Filter Replacement, AC Gas Refill, Tire Rotation"
Maruti,Alto,2014,10,177196,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,WagonR,2018,6,100820,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Camry,2014,10,94650,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, AC Gas Refill, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Hyundai,Venue,2015,9,95021,"Transmission Fluid Change, Wheel Alignment, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Camry,2013,11,183403,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Clutch Replacement, Timing Belt Replacement, Tire Rotation, Brake Pad Replacement"
Honda,City,2010,14,208083,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Wiper Blade Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Tata,Nexon,2014,10,99469,"Engine Oil Change, Spark Plug Replacement, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Glanza,2010,14,131694,"Engine Oil Change, Spark Plug Replacement, AC Gas Refill, Coolant Flush, Battery Replacement, Brake Pad Replacement"
Hyundai,i10,2017,7,97590,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Innova,2020,4,70125,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Battery Replacement, Air Filter Replacement, Tire Rotation"
Hyundai,i10,2010,14,250570,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Clutch Replacement, Battery Replacement, Air Filter Replacement"
Hyundai,Venue,2013,11,174344,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Urban Cruiser,2023,1,12750,Engine Oil Change
Maruti,Baleno,2021,3,40104,"Engine Oil Change, Air Filter Replacement, Battery Replacement"
Tata,Safari,2010,14,144181,"Transmission Fluid Change, Spark Plug Replacement, Coolant Flush, Clutch Replacement, Battery Replacement, Tire Rotation"
Honda,Accord,2015,9,151904,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Jazz,2012,12,150346,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Nexon,2017,7,87656,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i10,2013,11,161098,"Spark Plug Replacement, Suspension Check, Clutch Replacement, Timing Belt Replacement, Brake Pad Replacement"
Tata,Altroz,2022,2,26132,Engine Oil Change
Honda,CR-V,2020,4,34641,"Suspension Check, Air Filter Replacement, Engine Oil Change"
Toyota,Glanza,2018,6,96791,"Coolant Flush, Spark Plug Replacement, Engine Oil Change, Clutch Replacement"
Toyota,Glanza,2011,13,183260,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,CR-V,2023,1,15557,"Engine Oil Change, Wheel Alignment, AC Gas Refill, Tire Rotation"
Honda,Amaze,2013,11,182099,"Transmission Fluid Change, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Safari,2017,7,84018,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wiper Blade Replacement, Coolant Flush, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Nexon,2022,2,32862,"Engine Oil Change, Exhaust System Repair, Wheel Alignment, Air Filter Replacement, Tire Rotation"
Toyota,Innova,2014,10,100829,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, AC Gas Refill, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Hyundai,Creta,2018,6,103142,"Spark Plug Replacement, AC Gas Refill, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i10,2011,13,177567,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Fortuner,2016,8,121927,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,Baleno,2018,6,58500,"Air Filter Replacement, Wiper Blade Replacement, Tire Rotation"
Tata,Safari,2013,11,108239,"Engine Oil Change, Exhaust System Repair, Clutch Replacement, Air Filter Replacement, Tire Rotation"
Maruti,Alto,2015,9,70872,"Suspension Check, Engine Oil Change, Coolant Flush, Battery Replacement"
Toyota,Camry,2011,13,112742,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Brake Pad Replacement"
Maruti,Swift,2013,11,164044,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Tucson,2010,14,207365,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Hyundai,i10,2013,11,171166,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Tata,Nexon,2011,13,134380,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Timing Belt Replacement"
Maruti,Baleno,2017,7,66508,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Toyota,Urban Cruiser,2017,7,126637,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Tiago,2013,11,169091,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Toyota,Fortuner,2009,15,285075,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Innova,2023,1,11752,Engine Oil Change
Honda,WR-V,2022,2,37312,"Engine Oil Change, Air Filter Replacement, Wheel Alignment"
Toyota,Fortuner,2021,3,41225,"Engine Oil Change, Air Filter Replacement, Tire Rotation, Battery Replacement"
Maruti,WagonR,2023,1,12204,Engine Oil Change
Hyundai,i20,2023,1,16177,"Engine Oil Change, Tire Rotation"
Honda,CR-V,2023,1,13494,"Engine Oil Change, Wiper Blade Replacement"
Hyundai,i10,2013,11,170028,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, AC Gas Refill, Coolant Flush, Clutch Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Tucson,2023,1,12958,"Engine Oil Change, Wheel Alignment, Tire Rotation"
Toyota,Camry,2018,6,86425,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Clutch Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,WR-V,2015,9,111818,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,Civic,2022,2,18861,"Engine Oil Change, Wheel Alignment"
Tata,Tiago,2015,9,153051,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Wiper Blade Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Urban Cruiser,2023,1,19653,"Engine Oil Change, Wheel Alignment"
Maruti,Alto,2011,13,184536,"Spark Plug Replacement, Wheel Alignment, Suspension Check, Air Filter Replacement, Brake Pad Replacement"
Maruti,Swift,2011,13,173679,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Tiago,2012,12,217627,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Clutch Replacement, Timing Belt Replacement, Brake Pad Replacement"
Tata,Tiago,2010,14,157848,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, AC Gas Refill, Timing Belt Replacement, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,Vitara Brezza,2015,9,85578,"Engine Oil Change, AC Gas Refill, Brake Pad Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation"
Toyota,Fortuner,2019,5,43137,"Timing Belt Replacement, Tire Rotation"
Toyota,Glanza,2012,12,209014,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Baleno,2020,4,67592,"Spark Plug Replacement, Suspension Check, Battery Replacement, Air Filter Replacement, Tire Rotation"
Toyota,Innova,2023,1,4794,Engine Oil Change
Hyundai,Verna,2020,4,37143,"Engine Oil Change, Air Filter Replacement, Tire Rotation"
Honda,City,2023,1,3460,Engine Oil Change
Tata,Tiago,2010,14,179849,"Coolant Flush, Air Filter Replacement, Clutch Replacement, Wiper Blade Replacement"
Hyundai,i20,2013,11,193908,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wiper Blade Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Fortuner,2015,9,153304,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Urban Cruiser,2018,6,47696,"Air Filter Replacement, Timing Belt Replacement, Tire Rotation"
Toyota,Glanza,2008,16,200704,"Suspension Check, Air Filter Replacement, Coolant Flush"
Honda,WR-V,2017,7,90927,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Safari,2021,3,35743,"Air Filter Replacement, Battery Replacement"
Hyundai,Verna,2024,0,7097,Engine Oil Change
Maruti,Vitara Brezza,2013,11,176315,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, AC Gas Refill, Fuel Filter Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Tucson,2023,1,2399,Engine Oil Change
Honda,CR-V,2022,2,15588,Wheel Alignment
Hyundai,Venue,2020,4,44774,"Engine Oil Change, Battery Replacement"
Tata,Safari,2023,1,6475,Engine Oil Change
Honda,Civic,2019,5,86133,"Transmission Fluid Change, Spark Plug Replacement, Clutch Replacement, Battery Replacement, Air Filter Replacement"
Honda,CR-V,2015,9,119799,"Transmission Fluid Change, Spark Plug Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Creta,2015,9,121066,"Transmission Fluid Change, Spark Plug Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Alto,2019,5,56680,"Engine Oil Change, Spark Plug Replacement, Clutch Replacement, Battery Replacement"
Honda,WR-V,2017,7,117498,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Jazz,2012,12,198714,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,Jazz,2010,14,179540,"Engine Oil Change, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,Swift,2012,12,203063,"Transmission Fluid Change, Suspension Check, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Amaze,2022,2,24992,"Engine Oil Change, Tire Rotation"
Honda,City,2021,3,27762,"Engine Oil Change, Wheel Alignment, Battery Replacement"
Toyota,Glanza,2019,5,89233,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, AC Gas Refill, Timing Belt Replacement, Brake Pad Replacement"
Hyundai,Verna,2015,9,135077,"Engine Oil Change, AC Gas Refill, Clutch Replacement, Timing Belt Replacement, Brake Pad Replacement"
Tata,Harrier,2020,4,39549,"Suspension Check, Exhaust System Repair, Engine Oil Change, Tire Rotation"
Toyota,Camry,2013,11,172816,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Suspension Check, Clutch Replacement, Air Filter Replacement"
Maruti,WagonR,2017,7,118087,"Engine Oil Change, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation"
Toyota,Camry,2021,3,44359,"Suspension Check, Air Filter Replacement, Battery Replacement"
Hyundai,Tucson,2007,17,259301,"Spark Plug Replacement, Wiper Blade Replacement, AC Gas Refill, Battery Replacement, Air Filter Replacement"
Honda,Accord,2020,4,30280,"Engine Oil Change, Air Filter Replacement, Tire Rotation, Battery Replacement"
Toyota,Urban Cruiser,2020,4,59229,"Spark Plug Replacement, Air Filter Replacement, Tire Rotation, Battery Replacement"
Tata,Tiago,2011,13,213122,"Transmission Fluid Change, Engine Oil Change, Suspension Check, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Amaze,2016,8,114883,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Toyota,Urban Cruiser,2014,10,83838,"Transmission Fluid Change, Spark Plug Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Toyota,Urban Cruiser,2020,4,67859,"Engine Oil Change, Wheel Alignment, Wiper Blade Replacement, Battery Replacement, Air Filter Replacement"
Toyota,Camry,2019,5,72842,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Honda,Amaze,2014,10,106485,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Amaze,2015,9,150244,"Transmission Fluid Change, Engine Oil Change, Suspension Check, AC Gas Refill, Timing Belt Replacement"
Maruti,WagonR,2012,12,106171,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,WagonR,2015,9,140233,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Honda,WR-V,2013,11,198672,"AC Gas Refill, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Vitara Brezza,2012,12,180360,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, Timing Belt Replacement, Battery Replacement"
Maruti,Baleno,2020,4,39127,"Engine Oil Change, Air Filter Replacement, AC Gas Refill"
Toyota,Camry,2019,5,85741,"Transmission Fluid Change, Spark Plug Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Hyundai,i20,2018,6,96178,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation"
Tata,Harrier,2023,1,2393,Engine Oil Change
Honda,Accord,2023,1,14859,"Engine Oil Change, Wheel Alignment, Tire Rotation"
Maruti,Dzire,2016,8,120065,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Toyota,Fortuner,2019,5,73361,"Engine Oil Change, Air Filter Replacement, AC Gas Refill, Timing Belt Replacement"
Honda,Jazz,2012,12,135642,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Battery Replacement, Air Filter Replacement, Tire Rotation"
Hyundai,Verna,2021,3,52351,"Engine Oil Change, Spark Plug Replacement, Battery Replacement"
Hyundai,i10,2021,3,36042,"Suspension Check, Air Filter Replacement, AC Gas Refill, Tire Rotation"
Tata,Altroz,2021,3,46230,"Engine Oil Change, Wheel Alignment, Suspension Check, Air Filter Replacement, Tire Rotation"
Maruti,Vitara Brezza,2014,10,131783,"Transmission Fluid Change, Timing Belt Replacement, Tire Rotation"
Hyundai,Venue,2012,12,208922,"Transmission Fluid Change, Engine Oil Change, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Honda,CR-V,2017,7,93120,"Transmission Fluid Change, Spark Plug Replacement, Wiper Blade Replacement, Clutch Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i10,2011,13,139874,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Timing Belt Replacement, Battery Replacement"
Honda,Jazz,2020,4,50856,"Engine Oil Change, Spark Plug Replacement, Suspension Check, AC Gas Refill, Coolant Flush, Battery Replacement, Air Filter Replacement"
Honda,Accord,2016,8,84146,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Timing Belt Replacement"
Tata,Safari,2015,9,100890,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Suspension Check, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Glanza,2022,2,16820,"Engine Oil Change, Wheel Alignment"
Tata,Safari,2016,8,77725,"Air Filter Replacement, Timing Belt Replacement, Battery Replacement"
Honda,Amaze,2019,5,40755,"Engine Oil Change, Wiper Blade Replacement, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Toyota,Camry,2019,5,52051,"Engine Oil Change, Spark Plug Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Tata,Tiago,2013,11,105650,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Vitara Brezza,2011,13,110728,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, AC Gas Refill, Coolant Flush, Clutch Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Altroz,2010,14,117295,"Engine Oil Change, Spark Plug Replacement, Exhaust System Repair, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement"
Maruti,Swift,2018,6,51110,"Engine Oil Change, Tire Rotation, Timing Belt Replacement, Battery Replacement"
Toyota,Fortuner,2017,7,102925,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, AC Gas Refill, Air Filter Replacement"
Hyundai,Tucson,2021,3,35817,"Air Filter Replacement, Wiper Blade Replacement, Wheel Alignment, Battery Replacement"
Tata,Altroz,2016,8,115327,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Coolant Flush, Clutch Replacement, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,WagonR,2014,10,114493,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Vitara Brezza,2021,3,49312,"Engine Oil Change, Air Filter Replacement, AC Gas Refill, Battery Replacement"
Tata,Tiago,2016,8,127372,"Transmission Fluid Change, Exhaust System Repair, Clutch Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,Amaze,2011,13,148372,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Clutch Replacement, Air Filter Replacement"
Tata,Harrier,2014,10,150505,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Tucson,2015,9,146652,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Clutch Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Nexon,2011,13,155731,"Wheel Alignment, Suspension Check, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Innova,2021,3,45583,"Air Filter Replacement, Battery Replacement"
Honda,Amaze,2013,11,195011,"Engine Oil Change, Spark Plug Replacement, Wiper Blade Replacement, AC Gas Refill, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Glanza,2011,13,185041,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Fortuner,2016,8,104033,"Transmission Fluid Change, Wheel Alignment, Coolant Flush, Timing Belt Replacement, Air Filter Replacement"
Tata,Harrier,2021,3,26721,"Suspension Check, Engine Oil Change, Battery Replacement"
Honda,Civic,2006,18,221544,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Brake Pad Replacement"
Tata,Nexon,2017,7,59996,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement"
Honda,Jazz,2020,4,47762,"Suspension Check, Air Filter Replacement, Engine Oil Change, Tire Rotation"
